Configuration	stm32F103-mbdimmer
STM32CubeMX 	4.9.0
Date	01/19/2020
MCU	STM32F103CBTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	Single-ended	ADC1_TempSens_Input	VP_ADC1_TempSens_Input
ADC1	Vrefint Channel	ADC1_Vref_Input	VP_ADC1_Vref_Input
SYS	Serial-Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial-Wire	SYS_JTMS-SWDIO	PA13
TIM2	PWM Generation CH1	TIM2_CH1	PA0-WKUP
TIM2	PWM Generation CH2	TIM2_CH2	PA1
TIM4	Internal Clock	TIM4_VS_ClockSourceINT	VP_TIM4_VS_ClockSourceINT
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9



Pin Nb	PINs	FUNCTIONs	LABELs
3	PC14-OSC32_IN	GPIO_Input	IN
10	PA0-WKUP	TIM2_CH1	
11	PA1	TIM2_CH2	
18	PB0	GPIO_Output	LED
29	PA8	GPIO_Output	MB_TXEN
30	PA9	USART1_TX	MB_TX
31	PA10	USART1_RX	MB_RX
34	PA13	SYS_JTMS-SWDIO	SWDIO
37	PA14	SYS_JTCK-SWCLK	SWCLK
